username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
_puranpolipaglu,TRUE,663,1572,9,0.42,25,FALSE,FALSE,0,TRUE,FALSE,0,1
venust_photoss,TRUE,111,1,27,111,30,FALSE,FALSE,1,TRUE,FALSE,0,1
suryansh_66,TRUE,380,385,5,0.99,0,FALSE,FALSE,0,FALSE,FALSE,2,1
shravaniparab22,TRUE,414,535,18,0.77,1,FALSE,FALSE,0,TRUE,FALSE,2,1
virrraajj_74,TRUE,473,497,29,0.95,73,FALSE,FALSE,1,TRUE,FALSE,2,1
sujalteli_7,TRUE,460,454,2,1.01,7,FALSE,FALSE,0,TRUE,FALSE,1,1
__hrushidevghare__0506__,TRUE,435,627,0,0.69,53,FALSE,FALSE,0,TRUE,FALSE,4,1
mitali_112_,TRUE,336,328,15,1.02,29,FALSE,FALSE,1,TRUE,FALSE,3,1
_allie._01,TRUE,151,150,0,1.01,0,FALSE,FALSE,0,FALSE,FALSE,2,1
harshh_dhiman_,TRUE,341,336,0,1.01,19,FALSE,FALSE,0,TRUE,FALSE,0,1
omkar.av.gawali,FALSE,171,171,0,1,0,FALSE,FALSE,0,FALSE,FALSE,0,1
yottheyapper,TRUE,515,483,39,1.07,66,FALSE,FALSE,0,TRUE,FALSE,0,1
dumbre_atharva_,FALSE,241,255,0,0.95,45,FALSE,FALSE,0,TRUE,FALSE,0,1
prathams_17,TRUE,302,300,0,1.01,15,FALSE,FALSE,0,TRUE,FALSE,2,1
riya08._,TRUE,225,236,5,0.95,51,FALSE,FALSE,1,TRUE,FALSE,2,1
the.shreyashhh,TRUE,635,443,0,1.43,33,FALSE,FALSE,0,TRUE,FALSE,0,1
bibhuu_____,TRUE,272,300,8,0.91,149,FALSE,TRUE,0,TRUE,FALSE,0,1
theonlydevanshu,TRUE,436,465,0,0.94,0,FALSE,FALSE,0,FALSE,FALSE,0,1
i_am_sahil_avhad,TRUE,1452,1672,2,0.87,0,FALSE,FALSE,0,FALSE,FALSE,0,1
anjali_bhasme,TRUE,1102,1146,20,0.96,43,FALSE,FALSE,0,TRUE,FALSE,0,1
devanshgupta777,TRUE,268,296,36,0.91,22,FALSE,FALSE,0,TRUE,FALSE,3,1
