username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
aazain.siddiqui,TRUE,422,631,3,0.67,43,FALSE,FALSE,1,TRUE,FALSE,0,1
tahir_khan099,TRUE,571,306,0,1.87,4,FALSE,FALSE,0,FALSE,FALSE,3,1
akhassan12,TRUE,244,259,0,0.94,0,FALSE,FALSE,0,FALSE,FALSE,2,1
zaid_shaikh078,FALSE,63,133,0,0.47,22,FALSE,FALSE,0,TRUE,FALSE,3,1
_ts_asad,TRUE,371,106,9,3.5,95,FALSE,FALSE,2,TRUE,FALSE,0,1
saalam_kh46,TRUE,396,425,1,0.93,24,FALSE,FALSE,0,FALSE,FALSE,2,1
ismaill_shaikhh,FALSE,208,240,0,0.87,35,FALSE,FALSE,0,TRUE,FALSE,0,1
khansahab_.45,TRUE,438,851,6,0.51,18,FALSE,FALSE,0,TRUE,FALSE,2,1
adiiiiii_dete1811,TRUE,521,1717,1,0.3,1,FALSE,FALSE,0,TRUE,FALSE,4,1
aman.khaanik,TRUE,355,371,0,0.96,15,FALSE,FALSE,0,TRUE,FALSE,0,1
aadil.kumshi._,FALSE,168,579,1,0.29,45,FALSE,FALSE,1,TRUE,FALSE,0,1
tanmayrathodd,TRUE,204,189,5,1.08,22,FALSE,FALSE,0,TRUE,FALSE,0,1
pendharinazneen,FALSE,67,98,0,0.68,0,FALSE,FALSE,0,FALSE,FALSE,0,1
lowkeymoin,TRUE,56,219,0,0.26,28,FALSE,FALSE,0,TRUE,FALSE,0,1
ahmed_qureshi1492,TRUE,55,184,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,4,1
ibrahim__maniyar,TRUE,321,313,0,1.03,35,FALSE,FALSE,0,TRUE,FALSE,0,1
jamil_kht,TRUE,273,491,0,0.56,3,FALSE,FALSE,0,TRUE,FALSE,0,1
zaid_farooqui_18,TRUE,497,305,0,1.63,3,FALSE,FALSE,0,TRUE,FALSE,2,1
ayub_44_,TRUE,39,41,0,0.95,36,FALSE,FALSE,0,TRUE,FALSE,2,1
hannan_shemle,TRUE,156,145,0,1.08,0,FALSE,FALSE,0,FALSE,FALSE,0,1
ashutoshvinodsingh29,TRUE,92,201,29,0.46,0,FALSE,FALSE,0,FALSE,FALSE,2,1
shaan_sakharkar.official,TRUE,50,39,0,1.28,121,FALSE,TRUE,0,TRUE,FALSE,0,1
aryanb1511,TRUE,414,192,6,2.16,6,FALSE,FALSE,0,FALSE,FALSE,4,1
_nehalshaikh_15,TRUE,339,578,9,0.59,34,FALSE,FALSE,0,TRUE,FALSE,2,1
_sarmad.sk,FALSE,674,251,4,2.69,0,FALSE,FALSE,0,FALSE,FALSE,0,1
k._sharib_,TRUE,113,112,0,1.01,0,FALSE,FALSE,0,FALSE,FALSE,0,1
saifsk3429,TRUE,295,316,1,0.93,12,FALSE,FALSE,0,TRUE,FALSE,4,1
aakash_yv_,TRUE,72,74,0,0.97,0,FALSE,FALSE,0,FALSE,FALSE,0,1
omair___mohammad___khan___10,TRUE,52,115,0,0.45,5,FALSE,FALSE,0,TRUE,FALSE,2,1
anishhh__07,TRUE,276,413,0,0.67,17,FALSE,FALSE,0,FALSE,FALSE,2,1
murtaza.sakarwala,TRUE,157,162,0,0.97,7,FALSE,FALSE,0,TRUE,FALSE,0,1
md_shafe_,TRUE,120,145,0,0.83,0,FALSE,FALSE,0,FALSE,FALSE,0,1
ll_faisalll,TRUE,619,191,0,3.24,50,FALSE,FALSE,0,TRUE,FALSE,0,1
zaidk.han8948,TRUE,449,419,0,1.07,54,FALSE,FALSE,0,TRUE,FALSE,4,1
abulaasqureshi,TRUE,416,509,0,0.82,31,FALSE,FALSE,0,TRUE,FALSE,0,1
brh.k9m1l,TRUE,1400,392,23,3.57,0,FALSE,FALSE,0,FALSE,FALSE,2,1
4hmed_5hah,TRUE,7331,91,3,80.56,20,FALSE,FALSE,0,TRUE,FALSE,2,1
hanchate_sanket,TRUE,407,639,2,0.64,46,FALSE,FALSE,0,TRUE,FALSE,0,1
haaris__jr__10,FALSE,355,661,0,0.54,9,FALSE,FALSE,0,FALSE,FALSE,2,1
kunal0330,TRUE,268,385,0,0.7,20,FALSE,FALSE,0,TRUE,FALSE,4,1
rxhil_77,TRUE,161,525,0,0.31,52,FALSE,FALSE,0,TRUE,FALSE,2,1
yusufkondkari_,TRUE,388,1197,0,0.32,25,FALSE,FALSE,0,TRUE,FALSE,0,1
k_qureshi8,FALSE,349,257,0,1.36,23,TRUE,FALSE,0,TRUE,FALSE,1,1
syed_isar,TRUE,115,158,0,0.73,72,FALSE,FALSE,0,TRUE,FALSE,0,1
shaikhfahad14,TRUE,47,249,0,0.19,0,FALSE,FALSE,0,FALSE,FALSE,2,1
tauheed_476,FALSE,46,46,0,1,0,FALSE,FALSE,0,FALSE,FALSE,3,1
rugved_patil_14,TRUE,426,823,14,0.52,17,FALSE,FALSE,0,FALSE,FALSE,2,1
usmani_mariyam_,TRUE,120,120,0,1,44,FALSE,FALSE,0,TRUE,FALSE,0,1
kulsumsayed_,TRUE,945,790,26,1.2,47,FALSE,FALSE,0,TRUE,FALSE,0,1
khush_itripathi03,TRUE,103,149,2,0.69,26,FALSE,FALSE,0,TRUE,FALSE,2,1
thepersonal331,TRUE,22,806,0,0.03,0,FALSE,FALSE,0,FALSE,FALSE,3,1
mohdsalique786,TRUE,307,320,0,0.96,0,FALSE,FALSE,0,FALSE,FALSE,3,1
shahzan_08,TRUE,124,213,14,0.58,10,FALSE,FALSE,0,TRUE,FALSE,2,1
par.thx03,TRUE,365,409,0,0.89,5,FALSE,FALSE,0,TRUE,FALSE,2,1
_aphylium_un_25_,TRUE,141,268,0,0.53,59,FALSE,FALSE,0,TRUE,FALSE,2,1
nameissuyash,TRUE,313,543,9,0.58,22,FALSE,FALSE,0,FALSE,FALSE,0,1
purviii_shah,TRUE,205,234,13,0.88,0,FALSE,FALSE,0,FALSE,FALSE,0,1
pathanpvt_786,TRUE,48,42,2,1.14,0,FALSE,FALSE,0,FALSE,FALSE,3,1
rahil_d3a,TRUE,539,426,0,1.27,16,FALSE,FALSE,0,TRUE,FALSE,1,1
cantwithibaad,TRUE,451,354,0,1.27,41,FALSE,FALSE,0,TRUE,FALSE,0,1
ayan_hanma,FALSE,373,627,0,0.59,0,FALSE,FALSE,0,FALSE,FALSE,0,1
wannabe_krystum,TRUE,250,304,3,0.82,14,FALSE,FALSE,0,FALSE,FALSE,0,1
b_nooh4,TRUE,104,173,2,0.6,0,FALSE,FALSE,0,FALSE,FALSE,1,1
dani_yal.3791,TRUE,52,118,0,0.44,13,FALSE,FALSE,0,TRUE,FALSE,4,1
dhongreafnan,FALSE,128,143,0,0.9,0,FALSE,FALSE,0,FALSE,FALSE,0,1
aayushhh.a,TRUE,298,238,0,1.25,19,FALSE,FALSE,0,TRUE,FALSE,0,1
truptgaikwad,TRUE,196,157,0,1.25,0,FALSE,FALSE,0,FALSE,FALSE,0,1
alkaseemmalik,TRUE,1528,285,47,5.36,0,FALSE,FALSE,0,FALSE,FALSE,0,1
iam_danishsiddiqui,TRUE,596,827,1,0.72,10,FALSE,FALSE,0,FALSE,FALSE,0,1
talhamahapule,TRUE,317,292,10,1.09,108,FALSE,FALSE,0,TRUE,FALSE,0,1
a_l_f_a_i_z_07_,TRUE,315,409,9,0.77,29,FALSE,FALSE,0,FALSE,FALSE,2,1
_ashfaq_303,TRUE,409,231,0,1.77,0,FALSE,FALSE,0,FALSE,FALSE,3,1
princess_chandni_03,TRUE,245,418,4,0.59,101,FALSE,FALSE,0,TRUE,FALSE,2,1
mustafa_kumshi,TRUE,284,393,1,0.72,14,FALSE,FALSE,0,FALSE,FALSE,0,1
nameissuyash,TRUE,313,543,9,0.58,22,FALSE,FALSE,0,FALSE,FALSE,0,1
truptgaikwad,TRUE,196,157,0,1.25,0,FALSE,FALSE,0,FALSE,FALSE,0,1
cantwithibaad,TRUE,451,354,0,1.27,41,FALSE,FALSE,0,TRUE,FALSE,0,1
purviii_shah,TRUE,205,234,13,0.88,0,FALSE,FALSE,0,FALSE,FALSE,0,1
siddharth.shah04,TRUE,1606,1282,64,1.25,140,TRUE,TRUE,3,TRUE,FALSE,2,1
mayumalpute5557,TRUE,1118,322,43,3.47,127,FALSE,FALSE,1,TRUE,FALSE,4,1
avjit.bukka_878,TRUE,570,835,60,0.68,11,FALSE,FALSE,0,TRUE,FALSE,3,1
harshahh21,TRUE,653,1498,1,0.44,0,FALSE,FALSE,0,FALSE,FALSE,2,1
_yash_gonte_,TRUE,1684,1286,150,1.31,57,FALSE,FALSE,0,TRUE,FALSE,0,1
wbu.prathamm,TRUE,472,419,5,1.13,31,FALSE,FALSE,0,FALSE,FALSE,0,1
martial_artist_arafat,TRUE,649,379,2,1.71,106,FALSE,FALSE,0,TRUE,FALSE,0,1
super___sagar,TRUE,682,979,70,0.7,24,FALSE,FALSE,0,TRUE,FALSE,0,1
param23_11,TRUE,414,438,8,0.95,38,FALSE,FALSE,0,TRUE,FALSE,4,1
akki_4476,TRUE,475,361,92,1.32,0,TRUE,FALSE,0,FALSE,FALSE,4,1
ronak_730,TRUE,527,435,0,1.21,2,FALSE,FALSE,0,TRUE,FALSE,3,1
harshh_thakkar,TRUE,1132,981,13,1.15,52,FALSE,FALSE,0,TRUE,FALSE,0,1
saif_shaikh_0711,TRUE,291,151,19,1.93,15,FALSE,FALSE,0,TRUE,FALSE,4,1
asp9417,TRUE,501,509,2,0.98,28,FALSE,FALSE,0,TRUE,FALSE,4,1
prachi.sonawane_,TRUE,466,638,0,0.73,9,FALSE,FALSE,0,TRUE,FALSE,0,1
crazyaartya,TRUE,1850,4097,83,0.45,36,FALSE,FALSE,1,TRUE,FALSE,0,1
yash._patil_.07,TRUE,1881,839,0,2.24,0,FALSE,FALSE,0,FALSE,FALSE,2,1
jatin._.1010,TRUE,430,380,5,1.13,1,TRUE,FALSE,0,TRUE,FALSE,4,1
the.uncommon.04,TRUE,310,393,224,0.79,130,TRUE,FALSE,1,TRUE,FALSE,2,1
sanika_2605,TRUE,302,344,11,0.88,0,FALSE,FALSE,0,FALSE,FALSE,4,1
ashhuu_07,TRUE,372,429,3,0.87,32,FALSE,FALSE,0,TRUE,FALSE,2,1
surjeetkaurbons,TRUE,618,1084,13,0.57,0,FALSE,FALSE,0,FALSE,FALSE,0,1
_aditi._.surve_,TRUE,431,432,7,1,32,FALSE,FALSE,0,TRUE,FALSE,0,1
prathamesh._.9264,TRUE,483,423,7,1.14,28,FALSE,FALSE,0,TRUE,FALSE,4,1
manthan_here_,TRUE,580,795,2,0.73,90,FALSE,FALSE,0,TRUE,FALSE,0,1
shreyashpawar0907,TRUE,240,544,3,0.44,0,FALSE,FALSE,0,FALSE,FALSE,4,1
oreodolphin__69,TRUE,569,555,3,1.03,22,FALSE,FALSE,0,TRUE,FALSE,2,1
_gautammm02_,TRUE,298,348,0,0.86,0,FALSE,FALSE,0,FALSE,FALSE,2,1
ayush_pandey_x11,FALSE,940,479,0,1.96,48,FALSE,FALSE,0,TRUE,FALSE,2,1
martial.pvt,TRUE,45,48,0,0.94,98,FALSE,FALSE,0,TRUE,FALSE,0,1
r_a_h_u_l___27,TRUE,836,666,17,1.26,17,FALSE,FALSE,0,TRUE,FALSE,2,1
aviraj_awasthi_,TRUE,381,396,8,0.96,22,FALSE,FALSE,0,FALSE,FALSE,0,1
yaaash16_,TRUE,222,235,0,0.94,27,FALSE,FALSE,0,TRUE,FALSE,2,1
amruta.rathod96,TRUE,58,92,12,0.63,0,FALSE,FALSE,0,FALSE,FALSE,2,1
rohann._.15,TRUE,1197,1477,0,0.81,4,FALSE,FALSE,0,TRUE,FALSE,2,1
yog___2005,TRUE,247,234,3,1.06,60,FALSE,FALSE,0,TRUE,FALSE,4,1
the.aditya.nair,TRUE,442,629,3,0.7,41,FALSE,FALSE,0,TRUE,FALSE,0,1
ma_yank179,TRUE,357,716,0,0.5,0,FALSE,FALSE,0,FALSE,FALSE,3,1
__asavari__896,TRUE,306,241,1,1.27,35,FALSE,FALSE,0,TRUE,FALSE,3,1
sakshi_asodekar,TRUE,467,561,0,0.83,2,FALSE,FALSE,0,TRUE,FALSE,0,1
harshal__5999,TRUE,609,596,8,1.02,68,FALSE,FALSE,1,TRUE,FALSE,4,1
_vaish9__,TRUE,496,1911,23,0.26,30,FALSE,FALSE,0,TRUE,FALSE,1,1
tanmay.kadam_10,TRUE,560,582,26,0.96,92,FALSE,FALSE,1,TRUE,FALSE,2,1
riishi_kashyap,TRUE,215,494,2,0.44,53,FALSE,FALSE,0,TRUE,FALSE,0,1
_sumeet21_,TRUE,413,512,5,0.81,27,FALSE,FALSE,0,TRUE,FALSE,2,1
iamamit_21,TRUE,455,910,5,0.5,8,FALSE,FALSE,0,TRUE,FALSE,2,1
adityaaaaaa.04,TRUE,909,803,14,1.13,29,FALSE,FALSE,1,TRUE,FALSE,2,1
sanika_gire_,TRUE,679,641,48,1.06,48,FALSE,FALSE,0,TRUE,FALSE,0,1
pranavsapkal__,TRUE,511,622,6,0.82,27,FALSE,FALSE,0,TRUE,FALSE,0,1
akash.u.7104,TRUE,369,518,30,0.71,0,FALSE,FALSE,0,FALSE,FALSE,4,1
_.vedanti._05,TRUE,407,423,9,0.96,33,FALSE,FALSE,1,TRUE,FALSE,2,1
atharvthecalm,TRUE,1127,723,3,1.56,14,FALSE,FALSE,0,FALSE,FALSE,0,1
_queeenbee._,TRUE,261,374,15,0.7,9,FALSE,FALSE,0,TRUE,FALSE,0,1
varun.rathod.63,FALSE,297,355,3,0.84,30,TRUE,FALSE,0,TRUE,FALSE,2,1
suyash_sp23,TRUE,787,376,4,2.09,13,FALSE,FALSE,0,TRUE,FALSE,2,1
sonam_5004,TRUE,190,386,0,0.49,6,FALSE,FALSE,0,FALSE,FALSE,4,1
rockyplay_live,TRUE,232,265,22,0.88,140,TRUE,TRUE,0,TRUE,FALSE,0,1
shivangidthakur,TRUE,325,349,25,0.93,0,FALSE,FALSE,0,FALSE,FALSE,0,1
_birendra_24,FALSE,168,5283,0,0.03,67,FALSE,FALSE,0,TRUE,FALSE,2,1
dr.bhagya7,TRUE,141,96,36,1.47,49,FALSE,FALSE,0,TRUE,FALSE,1,1
sujatarathod,TRUE,145,171,112,0.85,58,TRUE,FALSE,1,TRUE,FALSE,0,1
mahuadwivedi,FALSE,48,56,0,0.86,0,FALSE,FALSE,0,FALSE,FALSE,0,1
justafazz,TRUE,35,35,1,1,0,FALSE,FALSE,0,FALSE,FALSE,0,1
ananyapvt2053,TRUE,59,59,7,1,25,FALSE,FALSE,1,TRUE,FALSE,4,1
navimumbye,TRUE,6721,998,107,6.73,83,FALSE,TRUE,0,TRUE,FALSE,0,1
be_mylow,TRUE,53,53,3,1,39,FALSE,FALSE,1,TRUE,FALSE,0,1
aryannaik1605,TRUE,370,312,6,1.19,0,FALSE,FALSE,0,FALSE,FALSE,4,1
solitary20._,TRUE,75,104,0,0.72,12,TRUE,FALSE,0,FALSE,FALSE,2,1
justt.zobiya,TRUE,29,26,0,1.12,40,FALSE,FALSE,0,TRUE,FALSE,0,1
navin_sharma508,TRUE,99,98,12,1.01,45,TRUE,FALSE,1,TRUE,FALSE,3,1
amritasamanta86,TRUE,169,296,28,0.57,136,FALSE,FALSE,0,TRUE,FALSE,2,1
_.asad._070,TRUE,763,826,10,0.92,92,FALSE,FALSE,0,TRUE,FALSE,3,1
81nas8,TRUE,264,299,0,0.88,0,FALSE,FALSE,0,FALSE,FALSE,3,1
rafijashaikh123,TRUE,51,85,4,0.6,0,FALSE,FALSE,0,FALSE,FALSE,3,1
hassaan.khan__,TRUE,29,32,0,0.91,0,FALSE,FALSE,0,FALSE,FALSE,0,1
divyesh_in_videsh,TRUE,409,428,10,0.96,97,TRUE,FALSE,0,TRUE,FALSE,0,1
juvi.calliartt,TRUE,168,87,41,1.93,65,FALSE,TRUE,1,TRUE,FALSE,0,1
rehan_shah22,TRUE,293,308,4,0.95,85,FALSE,FALSE,0,TRUE,FALSE,2,1
azim_mens_wear,TRUE,126,211,19,0.6,22,FALSE,FALSE,1,TRUE,FALSE,0,1
random.clicks_by_sujal,TRUE,92,93,4,0.99,5,FALSE,FALSE,0,TRUE,FALSE,0,1
sakshi.pawarr,TRUE,45746,988,97,46.3,139,FALSE,TRUE,3,TRUE,FALSE,0,1
shantxnu.pvt,TRUE,41,42,12,0.98,14,FALSE,FALSE,0,TRUE,FALSE,0,1
capturing_chronicless,TRUE,33,26,4,1.27,45,FALSE,FALSE,0,TRUE,FALSE,0,1
zayed.27_,TRUE,79,85,0,0.93,0,FALSE,FALSE,0,FALSE,FALSE,2,1
_thejerseyquest_,TRUE,100,55,8,1.82,136,TRUE,FALSE,0,TRUE,FALSE,0,1
mohammed_jagda,TRUE,495,760,19,0.65,21,FALSE,FALSE,0,FALSE,FALSE,0,1
_shubham098__,TRUE,126,129,0,0.98,29,FALSE,FALSE,0,TRUE,FALSE,3,1
safartumara,TRUE,160,405,25,0.4,128,FALSE,FALSE,0,TRUE,FALSE,0,1
